path	june	july
A/1245	5925	7009
A/1246	5923	7007
A/1247	5929	7013
A/1248	5925	7009
A/1249	5925	7009
A/125	5864	6948
A/1250	5911	6995
A/1251	5929	7013
A/1252	5927	7011
A/1253	5927	7011
A/1254	5929	7013
A/1255	5927	7011
A/1256	5925	7009
A/1257	5929	7013
A/1258	5925	7009
A/1259	5927	7011
A/126	5862	6946
A/1260	5898	6982
A/1261	5923	7007
A/1262	5923	7007
A/1263	5923	7007
A/1264	5927	7011
A/1265	5925	7009
A/1266	5923	7007
A/1267	5929	7013
A/1268	5925	7009
A/1269	5925	7009
A/127	5868	6952
A/1270	5912	6996
A/1271	5930	7014
A/1272	5927	7011
A/1273	5927	7011
A/1274	5929	7013
A/1275	5927	7011
A/1276	5925	7009
A/1277	5929	7013
A/1278	5925	7009
A/1279	5927	7011
A/128	5864	6948
A/1280	5902	6986
A/1281	5927	7011
A/1282	5927	7011
A/1283	5927	7011
A/1284	5931	7015
A/1285	5929	7013
A/1286	5927	7011
A/1287	5933	7017
A/1288	5929	7013
A/1289	5929	7013
A/129	5864	6948
A/1290	5913	6997
A/1291	5933	7017
A/1292	5931	7015
A/1293	5931	7015
A/1294	5933	7017
A/1295	5932	7016
A/1296	5929	7013
A/1297	5933	7017
A/1298	5929	7013
A/1299	5931	7015
A/12_(ахыҧхьаӡара)	27788	6529
A/12_(ахыԥхьаӡара)	27788	6529
A/13	6863	8112
A/130	5848	6932
A/1300	5861	6945
A/1301	5887	6971
A/1302	5887	6971
A/1303	5888	6972
A/1304	5891	6975
A/1305	5889	6973
A/1306	5887	6971
A/1307	5893	6977
A/1308	5889	6973
A/1309	5889	6973
A/131	5868	6952
A/1310	5891	6975
A/1311	5893	6977
A/1312	5891	6975
A/1313	5891	6975
A/1314	5893	6977
A/1315	5891	6975
A/1316	5889	6973
A/1317	5893	6977
A/1318	5889	6973
A/1319	5891	6975
A/132	5866	6950
A/1320	5891	6975
A/1321	5916	7000
A/1322	5916	7000
A/1323	5916	7000
A/1324	5920	7004
A/1325	5918	7002
A/1326	5917	7001
A/1327	5922	7006
A/1328	5918	7002
A/1329	5918	7002
A/133	5866	6950
A/1330	5902	6986
A/1331	5922	7006
A/1332	5920	7004
A/1333	5920	7004
A/1334	5922	7006
A/1335	5920	7004
A/1336	5918	7002
A/1337	5922	7006
A/1338	5918	7002
A/1339	5920	7004
A/134	5868	6952
A/1340	5897	6981
A/1341	5922	7006
A/1342	5922	7006
A/1343	5922	7006
A/1344	5926	7010
A/1345	5924	7008
A/1346	5922	7006
A/1347	5928	7012
A/1348	5924	7008
A/1349	5924	7008
A/135	5866	6950
A/1350	5910	6994
A/1351	5928	7012
A/1352	5926	7010
A/1353	5926	7010
A/1354	5928	7012
A/1355	5926	7010
A/1356	5924	7008
A/1357	5928	7012
A/1358	5924	7008
A/1359	5926	7010
A/136	5864	6948
A/1360	5897	6981
A/1361	5923	7007
A/1362	5922	7006
A/1363	5922	7006
A/1364	5926	7010
A/1365	5924	7008
A/1366	5922	7006
A/1367	5928	7012
A/1368	5924	7008
A/1369	5924	7008
A/137	5868	6952
A/1370	5911	6995
A/1371	5928	7012
A/1372	5926	7010
A/1373	5926	6977
A/1374	5929	7013
A/1375	5926	7010
A/1376	5924	7008
A/1377	5928	7012
A/1378	5925	7009
A/1379	5926	7010
A/138	5864	6948
A/1380	5901	6985
A/1381	5926	7010
A/1382	5926	7010
A/1383	5926	7010
A/1384	5931	7015
A/1385	5928	7012
A/1386	5926	7010
A/1387	5932	7016
A/1388	5928	7012
A/1389	5928	7012
A/139	5866	6950
A/1390	5912	6996
A/1391	5932	7016
A/1392	5930	7014
A/1393	5930	7014
A/1394	5933	7017
A/1395	5930	7014
A/1396	5928	7012
A/1397	5932	7016
A/1398	5928	7012
A/1399	5930	7014
A/13_(ахыҧхьаӡара)	27916	6544
A/13_(ахыԥхьаӡара)	27916	6544
A/14	8872	10356
A/140	5843	6927
A/1400	5864	6948
A/1401	5890	6974
A/1402	5890	6974
A/1403	5890	6974
A/1404	5894	6978
A/1405	5892	6976
A/1406	5890	6974
A/1407	5896	6980
A/1408	5892	6976
